Date,"Antipiretico","Polmonite","Tonsillite","Pagina principale","Influenza"
2017-02-22,111,947,348,1221402,274
2017-02-23,106,853,359,1240464,264
2017-02-24,83,864,354,1224643,215
2017-02-25,89,723,294,1160612,181
2017-02-26,91,793,366,1200592,199
2017-02-27,81,869,415,1217839,263
2017-02-28,102,790,371,1243098,239
2017-03-01,107,753,342,1177768,240
2017-03-02,118,709,367,1134113,236
2017-03-03,93,692,392,1173251,224
2017-03-04,88,584,328,1118665,172
2017-03-05,87,633,314,1225378,232
2017-03-06,73,783,523,1298494,240
2017-03-07,116,727,406,1165752,222
2017-03-08,86,718,417,1199563,216
2017-03-09,88,699,399,1125231,161
2017-03-10,91,643,368,1156854,151
2017-03-11,85,606,297,1125501,159
2017-03-12,90,619,352,1152189,190
2017-03-13,103,856,397,1188822,206
2017-03-14,98,862,380,1126451,191
2017-03-15,101,729,376,1137489,161
2017-03-16,108,700,391,1123734,194
2017-03-17,97,741,337,1141820,184
2017-03-18,86,638,295,1093829,151
2017-03-19,101,650,366,1162729,134
2017-03-20,102,759,406,1174766,216
2017-03-21,99,764,371,1166304,201
2017-03-22,122,794,439,1145778,188
2017-03-23,99,701,366,1141293,196
2017-03-24,84,735,352,1086553,160
2017-03-25,76,605,316,1078220,128
2017-03-26,92,631,276,1110650,168
2017-03-27,89,1055,452,1119139,178
2017-03-28,80,950,385,1100134,176
2017-03-29,97,858,405,1090056,182
2017-03-30,76,633,386,1097866,204
2017-03-31,83,599,400,1065847,167
2017-04-01,83,542,318,1033226,126
2017-04-02,88,544,358,1079646,158
2017-04-03,81,667,378,1092282,153
2017-04-04,81,600,411,1094703,164
2017-04-05,74,644,440,1092168,194
2017-04-06,87,674,343,1074009,147
2017-04-07,68,651,372,1067297,164
2017-04-08,78,516,318,1010188,121
2017-04-09,85,518,309,1005687,146
2017-04-10,77,722,439,1195796,162
2017-04-11,93,698,377,1286409,190
2017-04-12,97,658,394,1099615,150
2017-04-13,77,585,381,1052002,143
2017-04-14,74,560,339,1031461,113
2017-04-15,69,458,291,992459,96
2017-04-16,80,486,314,963203,106
2017-04-17,76,480,276,995008,123
2017-04-18,77,714,281,1092259,147
2017-04-19,64,630,307,1044077,183
2017-04-20,98,608,311,1044842,168
2017-04-21,95,518,262,1021974,141
2017-04-22,76,462,209,974486,122
2017-04-23,83,498,207,965660,127
2017-04-24,85,592,246,995159,153
2017-04-25,111,636,225,959720,137
2017-04-26,90,701,295,1011662,180
2017-04-27,97,664,283,984022,135
2017-04-28,60,576,257,971185,155
2017-04-29,70,528,225,926416,130
2017-04-30,74,447,226,908427,96
2017-05-01,97,570,242,958594,150
2017-05-02,115,652,321,977869,172
2017-05-03,82,564,296,980582,147
2017-05-04,100,581,291,959152,173
2017-05-05,56,494,289,943903,145
2017-05-06,64,514,213,936162,137
2017-05-07,93,487,192,939053,149
2017-05-08,90,656,207,982914,162
2017-05-09,81,678,183,957603,141
2017-05-10,93,605,220,937906,159
2017-05-11,83,589,223,938221,164
2017-05-12,78,514,237,973298,147
2017-05-13,73,438,166,890873,128
2017-05-14,63,408,198,885647,185
2017-05-15,85,583,257,941332,175
2017-05-16,100,582,226,951261,149
2017-05-17,78,574,332,954427,181
2017-05-18,71,656,362,964518,129
2017-05-19,72,569,345,956807,168
2017-05-20,99,529,260,903908,211
2017-05-21,93,525,316,898643,187
2017-05-22,93,611,413,957739,209
2017-05-23,76,629,379,941348,183
2017-05-24,73,598,321,955637,192
2017-05-25,81,592,315,964807,155
2017-05-26,79,571,281,934836,152
2017-05-27,67,496,276,866687,154
2017-05-28,68,465,281,890874,113
2017-05-29,86,619,342,963807,164
2017-05-30,95,601,348,958231,149
2017-05-31,62,594,343,941093,148
2017-06-01,80,543,325,937773,109
2017-06-02,75,449,287,942979,100
2017-06-03,69,495,242,871451,125
2017-06-04,78,514,190,884462,79
2017-06-05,90,559,364,935469,124
2017-06-06,81,572,373,949596,151
2017-06-07,92,557,333,909005,149
2017-06-08,111,521,299,892884,163
2017-06-09,105,571,318,878590,119
2017-06-10,71,479,248,813206,119
2017-06-11,92,434,260,818849,94
2017-06-12,81,528,359,878234,153
2017-06-13,89,605,372,857195,149
2017-06-14,82,518,357,881474,126
2017-06-15,64,528,317,872055,135
2017-06-16,83,573,289,853011,115
2017-06-17,63,450,264,802714,113
2017-06-18,72,453,282,794572,108
2017-06-19,80,674,319,871128,203
2017-06-20,74,495,301,890881,226
2017-06-21,76,481,332,893334,159
2017-06-22,74,556,285,878458,188
2017-06-23,82,505,297,848293,138
2017-06-24,75,441,278,791949,183
2017-06-25,77,413,277,812327,120
2017-06-26,91,549,299,863597,219
2017-06-27,67,552,320,871298,184
2017-06-28,73,540,323,876743,153
2017-06-29,65,474,296,872636,109
2017-06-30,78,395,269,879334,137
2017-07-01,73,425,247,839663,117
2017-07-02,67,385,266,830095,139
2017-07-03,78,493,314,866396,155
2017-07-04,76,460,286,869476,139
2017-07-05,73,505,324,856500,143
2017-07-06,80,453,336,861544,116
2017-07-07,77,456,292,847947,106
2017-07-08,78,396,263,770471,127
2017-07-09,78,441,295,763494,98
2017-07-10,67,518,309,830476,150
2017-07-11,81,552,312,828612,158
2017-07-12,105,554,283,808307,179
2017-07-13,56,520,282,794713,152
2017-07-14,90,420,302,803354,90
2017-07-15,91,413,234,758918,115
2017-07-16,71,408,198,750418,159
2017-07-17,68,472,261,816758,161
2017-07-18,91,505,252,819358,141
2017-07-19,78,458,278,837225,119
2017-07-20,62,485,340,843769,117
2017-07-21,90,424,321,835447,91
2017-07-22,74,389,254,768280,70
2017-07-23,68,381,257,773393,107
2017-07-24,69,480,294,850309,120
2017-07-25,77,510,299,845671,93
2017-07-26,81,506,311,846536,76
2017-07-27,67,420,298,831745,71
2017-07-28,89,407,271,801507,85
2017-07-29,65,371,224,881872,101
2017-07-30,71,369,233,772929,69
2017-07-31,50,470,306,815200,100
2017-08-01,69,420,282,804278,97
2017-08-02,65,442,251,803990,72
2017-08-03,85,436,276,794798,99
2017-08-04,62,413,262,775355,104
2017-08-05,67,380,228,723700,151
2017-08-06,67,494,226,705176,81
2017-08-07,66,502,302,751009,152
2017-08-08,68,476,261,762993,87
2017-08-09,59,400,254,766672,124
2017-08-10,71,436,248,931905,101
2017-08-11,93,400,243,748249,99
2017-08-12,62,371,239,699416,78
2017-08-13,77,329,205,702535,96
2017-08-14,56,382,266,713854,122
2017-08-15,86,323,188,667864,86
2017-08-16,91,407,261,719879,94
2017-08-17,93,449,231,733158,95
2017-08-18,73,434,283,699476,83
2017-08-19,83,369,252,670208,127
2017-08-20,81,387,251,680720,99
2017-08-21,88,504,302,728164,158
2017-08-22,84,440,297,740796,168
2017-08-23,70,559,318,746354,183
2017-08-24,96,493,272,737838,148
2017-08-25,140,448,291,748231,140
2017-08-26,81,407,237,706805,134
2017-08-27,92,465,267,720440,118
2017-08-28,65,536,244,793670,134
2017-08-29,86,558,283,780937,167
2017-08-30,98,490,299,753976,207
2017-08-31,91,458,343,757029,208
2017-09-01,107,512,309,771914,191
2017-09-02,83,477,204,738414,182
2017-09-03,81,339,254,728974,139
2017-09-04,85,489,275,775471,175
2017-09-05,99,504,276,771547,198
2017-09-06,71,484,226,754796,170
2017-09-07,71,528,248,768918,203
2017-09-08,115,553,237,747989,143
2017-09-09,71,404,232,725271,132
2017-09-10,68,474,218,734139,172
2017-09-11,102,499,264,787453,205
2017-09-12,94,519,256,822791,248
2017-09-13,95,458,257,773821,222
2017-09-14,124,521,262,768885,284
2017-09-15,115,516,226,751648,202
2017-09-16,78,455,255,725244,156
2017-09-17,87,417,283,713719,183
2017-09-18,87,460,319,782657,223
2017-09-19,80,499,294,789276,234
2017-09-20,114,567,344,786594,207
2017-09-21,105,519,332,772421,269
2017-09-22,93,433,361,777204,272
2017-09-23,74,376,224,721784,242
2017-09-24,118,439,280,717377,250
2017-09-25,138,586,311,794542,394
2017-09-26,131,549,331,794719,338
2017-09-27,130,573,349,787661,362
2017-09-28,122,529,302,805534,355
2017-09-29,120,544,313,757078,273
2017-09-30,116,453,241,700805,315
2017-10-01,99,506,261,706302,288
2017-10-02,115,571,351,758768,320
2017-10-03,111,550,331,765785,342
2017-10-04,129,630,306,762049,323
2017-10-05,96,649,291,759079,304
2017-10-06,117,627,286,734797,271
2017-10-07,96,539,225,698682,273
2017-10-08,111,474,267,712457,326
2017-10-09,110,775,282,761072,344
2017-10-10,107,536,305,745224,327
2017-10-11,95,541,285,746332,326
2017-10-12,90,640,271,747032,400
2017-10-13,92,526,251,752225,324
2017-10-14,93,428,222,710143,251
2017-10-15,81,393,437,688562,198
2017-10-16,91,621,392,729991,275
2017-10-17,88,567,330,721656,261
2017-10-18,112,585,332,726176,258
2017-10-19,87,542,287,747796,270
2017-10-20,76,497,282,738373,217
2017-10-21,92,575,229,694983,237
2017-10-22,77,503,230,728349,243
2017-10-23,88,482,315,766862,273
2017-10-24,82,519,291,769708,324
2017-10-25,92,492,317,773779,322
2017-10-26,83,538,291,761322,222
2017-10-27,94,437,255,798914,260
2017-10-28,79,434,201,683928,225
2017-10-29,68,460,227,693223,232
2017-10-30,88,526,291,750928,270
2017-10-31,79,430,227,739028,236
2017-11-01,78,468,250,715644,216
2017-11-02,80,593,286,759842,291
2017-11-03,84,614,293,733056,255
2017-11-04,89,514,242,686133,229
2017-11-05,90,502,253,701530,272
2017-11-06,100,651,340,726129,259
2017-11-07,102,650,291,723466,349
